date,open,high,low,close,volume,trade_count,vwap,symbol
8/26/2019,94.72,94.99,94.29,94.8,1058888,12407,94.590838,BUD
8/27/2019,95.15,95.31,92.28,92.99,1522598,16381,93.483111,BUD
8/28/2019,92.56,93.79,92.1426,93.64,790839,10561,93.293495,BUD
8/29/2019,95.2,95.57,94.54,95.26,752589,9878,95.189147,BUD
8/30/2019,95.5,95.54,94.32,94.5,589270,7285,94.686692,BUD
9/3/2019,93.68,94.16,93.5,93.96,680042,9563,93.861086,BUD
9/4/2019,94.63,95.04,94.37,94.73,632170,8139,94.742269,BUD
9/5/2019,94.15,94.38,93.06,93.25,1341072,13592,93.581256,BUD
9/6/2019,92.84,93.6,92.79,93.57,1121872,12527,93.213823,BUD
9/9/2019,93.13,95.84,93.13,95.78,2399393,22644,95.129595,BUD
9/10/2019,95.52,95.55,93.8,94.2,1453465,16093,94.211034,BUD
9/11/2019,92.29,94.425,92.1,94.27,1459609,13342,93.776959,BUD
9/12/2019,95.8,98.34,95.74,97.47,2552052,21174,97.230689,BUD
9/13/2019,96.34,97.0122,96.02,96.4,1142048,11336,96.494365,BUD
9/16/2019,95.93,96.0627,95.6,95.74,598266,6787,95.848406,BUD
9/17/2019,96.22,97.2724,96.18,96.97,1449904,12462,96.703954,BUD
9/18/2019,96.39,97.05,96.31,96.9,1048388,9189,96.728788,BUD
9/19/2019,95.98,96.09,94.9,94.98,867865,9488,95.346275,BUD
9/20/2019,96.43,96.82,96.13,96.32,1182384,11221,96.4799,BUD
9/23/2019,95.94,96.51,95.89,96.34,928743,8393,96.167194,BUD
9/24/2019,94.62,94.73,93.235,93.83,1085283,13222,93.909745,BUD
9/25/2019,94.43,94.85,94,94.61,773081,7792,94.454069,BUD
9/26/2019,94.4,95.48,94.4,94.98,594837,7650,95.002133,BUD
9/27/2019,95.33,95.33,94.1,94.42,821592,10242,94.60096,BUD
9/30/2019,94.97,95.72,94.93,95.15,1224871,11206,95.240301,BUD
10/1/2019,94.59,94.745,92.87,93.34,1357901,15068,93.584303,BUD
10/2/2019,92.57,92.7765,90.61,91.06,1167890,14744,91.327769,BUD
10/3/2019,90.56,92.24,89.87,91.9,2209749,15634,91.299615,BUD
10/4/2019,91.4,93.39,91.305,93.33,1261362,12021,92.60507,BUD
10/7/2019,93.51,93.96,92.99,93,911684,10322,93.365358,BUD
10/8/2019,92.73,92.78,91.71,91.95,796967,9193,92.23227,BUD
10/9/2019,92.91,93.06,92.31,92.53,658310,7712,92.674344,BUD
10/10/2019,91.46,92.28,91.31,91.56,927232,10530,91.725094,BUD
10/11/2019,92.54,92.6796,92.05,92.31,769166,10448,92.397435,BUD
10/14/2019,91.85,92.1,91.245,91.28,1071449,11127,91.5338,BUD
10/15/2019,92.08,92.86,91.69,92.08,1490497,13660,92.266249,BUD
10/16/2019,92.54,92.54,92,92.28,647089,8584,92.270917,BUD
10/17/2019,93.46,93.555,92.83,93.28,1078901,11727,93.284902,BUD
10/18/2019,92.86,93.32,92.755,93.03,604709,8203,93.040269,BUD
10/21/2019,93.6,93.7,93.1,93.43,721606,8678,93.402436,BUD
10/22/2019,92.19,92.6,91.84,91.89,887111,10404,92.195712,BUD
10/23/2019,90.95,91.74,90.59,91.46,890576,10179,91.258846,BUD
10/24/2019,92.01,92.05,91.445,91.6,772735,7932,91.699591,BUD
10/25/2019,83.56,84.36,81.555,81.83,5857042,43098,82.517077,BUD
10/28/2019,81.62,81.81,80.75,80.98,1778800,20005,81.212368,BUD
10/29/2019,80.7,80.77,79.9561,80.33,1657420,16741,80.31718,BUD
10/30/2019,80.41,81.44,80.14,80.95,2248462,18939,80.932665,BUD
10/31/2019,80.79,80.9805,80.33,80.77,2442890,18414,80.674488,BUD
11/1/2019,80.34,80.52,79.27,79.36,1865202,17346,79.783595,BUD
11/4/2019,79.52,79.54,78.77,79.42,2020942,13373,79.120956,BUD
11/5/2019,79.45,79.58,78.79,79.1,2019134,11227,79.278652,BUD
11/6/2019,79.51,79.66,79.115,79.33,927895,9707,79.408035,BUD
11/7/2019,78.71,78.81,77.9,78.38,1250747,11802,78.264544,BUD
11/8/2019,78.32,78.51,78.04,78.48,1062468,8508,78.261307,BUD
11/11/2019,78.31,78.8975,78.22,78.71,722873,7164,78.573438,BUD
11/12/2019,79.76,79.84,78.92,79.08,1107619,12735,79.238503,BUD
11/13/2019,80.25,80.25,79.1,79.28,2195048,15253,79.665722,BUD
11/14/2019,79.52,79.7799,78.83,79.11,1951934,15645,79.256788,BUD
11/15/2019,79.07,79.8,79.02,79.65,750607,9261,79.470692,BUD
11/18/2019,80,80.6,79.78,80.05,887952,9802,80.170907,BUD
11/19/2019,79.5,79.6,79.12,79.19,961020,9672,79.347391,BUD
11/20/2019,78.67,78.98,78.21,78.43,707470,8701,78.574709,BUD
11/21/2019,78.83,78.9,78.3,78.57,647245,7514,78.614184,BUD
11/22/2019,79.3,79.415,78.65,79.08,953305,9995,79.066739,BUD
11/25/2019,78.88,79.41,78.88,79.09,643231,7466,79.185898,BUD
11/26/2019,79.11,79.28,78.69,79.05,1019520,11376,78.946713,BUD
11/27/2019,78.37,78.96,78.25,78.58,1644848,11316,78.597068,BUD
11/29/2019,79.37,79.48,79.07,79.35,590404,6042,79.326561,BUD
12/2/2019,79.43,79.57,78.77,79.28,859481,10332,79.127396,BUD
12/3/2019,78.75,79.04,78.43,78.92,921656,9591,78.779241,BUD
